"Jagjeetpur, Haridwar",Uttarakhand,Haridwar,27,29.921508,78.13532
"Jagjeetpur, Haridwar",Uttarakhand,Haridwar,18,29.921508,78.13532
Swarg ashram Rishikesh,Uttarakhand,Rishikesh,3,30.117063,78.313856
"Lakkar Ghat, Rishikesh",Uttarakhand,Rishikesh,6,30.108609,78.298523
"Rishikesh, IDPL",Uttarakhand,Rishikesh,14,30.074988,78.254152
Srinagar,Uttarakhand,Srinagar,3.5,34.083847,74.797173
"Sarai, Jawalpur STP",Uttarakhand,Haridwar,18,23.008639,79.994645
Uttarakashi,Uttarakhand,Uttarakashi,2,30.727687,78.435108
Tehri,Uttarakhand,Tehri,5,30.374167, 78.432976
Tapovan (New),Uttarakhand,Tapovan ,3.5,28.611338, 77.377966
"Bah Bazar, Devprayag (New)",Uttarakhand,Devprayag ,1.4,30.144755,78.601347
Kargi (New),Uttarakhand,Dehradun,68,30.285253,78.023708
Mothorwala (New),Uttarakhand,Dehradun,20,30.262236,78.033958
"Jajmau, Kanpur",Uttar Pradesh,Kanpur,130,26.422872,80.400541
"Jajmau, Kanpur",Uttar Pradesh,Kanpur,5,26.422872,80.400541
Salori Allahabad,Uttar Pradesh,Allahabad,29,25.484186,81.876398
"Rajapur, Allahabad",Uttar Pradesh,Allahabad,60,25.47235,81.829232
"Pongghat, Allahabad",Uttar Pradesh,Allahabad,10,25.449019,81.751328
"Kodra,  Allahabad",Uttar Pradesh,Allahabad,25,50.75559,30.01341
"Naini,  Allahabad",Uttar Pradesh,Allahabad,80,25.3812,81.877798
Dinapur (Varanasi),Uttar Pradesh,Varanasi,80,25.349735,83.048333
Bhagwanpur BHU (Varanasi),Uttar Pradesh,Varanasi,9.5,25.271542,83.009611
DLW- Varanasi,Uttar Pradesh,Varanasi,12,25.286825,82.968626
Mirzapur,Uttar Pradesh,Mirzapur,14,25.13524,82.564524
Mirzapur (Vindyanchal),Uttar Pradesh,Mirzapur,4,25.158113,82.504058
Anupsahar STP1,Uttar Pradesh,Anupsahar,0.81,28.354951,78.267556
Anupsahar STP2,Uttar Pradesh,Anupsahar,1.75,28.35631,78.267213
Fatehgarh,Uttar Pradesh,Farrukhabad,2.7,27.368315,79.622662
Narora,Uttar Pradesh,Narora,2.25,28.197338, 78.381475
Brijghat,Uttar Pradesh,Brijghat,3,28.756079,78.140328
Salori Allahabad (New),Uttar Pradesh,Allahabad ,14,25.484953,81.876128
Titagarh (ASP),West Bengal,Titagarh & Khardah,4.5,22.742999,88.373423
Titagarh (Oxidation Pond),West Bengal,Titagarh & Khardah,4.5,22.740149,88.373337
Bhatpara- Jagaddal (New),West Bengal,Bhatpara,10,22.903277,88.401795
"Jaggaddal, Bhatpara (OLD)",West Bengal,Bhatpara,8.5,22.857671,88.406579
"Jaggaddal, Bhatpara (OP)",West Bengal,Bhatpara,4.5,22.86384,88.407094
"Kankinara, Madrail",West Bengal,Bhatpara,10,22.874761,88.423691
Baidyabati STP,West Bengal,Baidyabati ,6,22.800003,88.317653
Bandipur STP,West Bengal,Titagarh ,14,22.648523,87.548203
Konnagar,West Bengal,Konnagar,22,22.701544,88.321777
Panihati STP,West Bengal,Panihati ,12,22.697753,88.373782
"Kona STP (Chakpara, Anandnagar Gram Panchayat",West Bengal,Ballay & Howrah,30,22.6243,88.320285
Chandannagar STP (Trickling Filter),West Bengal,Chandannagar,18.16,22.86605,88.362586
Chandannagar STP ,West Bengal,Chandannagar,4.54,22.866999,88.362929
Bansberia STP,West Bengal,Bansberia ,0.3,22.967506,88.396667
Kamarhati STP ,West Bengal,Kamarhati  ,40,22.685464,88.370789
Naihati  STP ,West Bengal,Naihati  ,11.56,22.893411,88.412248
Garulia STP ,West Bengal,Garulia ,7.9,22.818484,88.364154
Garden Reach STP ,West Bengal,Kolkata,47.5,22.534626,88.29951
Serampore STP,West Bengal,Serampore ,18.9,22.743516,88.342019
Maheshtala STP,West Bengal,Maheshtala ,4,22.5089,88.255559
Budge Budge STP,West Bengal,Budge Budge ,4.25,22.466912,88.16647
Bhadreswar STP,West Bengal,Bhadreswar ,7.6,22.827724,88.345201
Howrah STP,West Bengal,Howrah ,45,23.083128,88.131909
Barrackpure,West Bengal,Barrackpore,1,22.767891,88.366757
Berhrampore,West Bengal,Mursidabad,3.7,22.767891,88.366757
"Kalyani Block- B2, B3",West Bengal,Kalyani ,11,22.978966,88.424528
Kalyani Town Area,West Bengal,Kalyani,6,22.975499,88.43854
Champadani,West Bengal,Champadani,0.3,22.802675,88.341378
"Cossipore, Chitpur",West Bengal,Kolkata,45,22.610343,88.371577
Nabadwip,West Bengal,Nabadwip,10,23.408013,88.367387
"Jiaganj, Azimpur",West Bengal,"Jiaganj, Azimganj",1.39,24.217655,88.711814
"Gayeshpur, Halishar & Kanchrapara",West Bengal,"Gayeshpur, Halishar & Kanchrapara",13,22.959049,88.495345
