1,Saidpur,Bihar,Patna,45 MLD + 60 MLD,25.621317,85.148933,,,
2,Pahari,Bihar,Patna,25 MLD + 60 MLD,25.591963,85.196278,,,
3,Bhagalpur,Bihar,Bhagalpur,11MLD (Closed),25.359017,86.992126,,,
4,Buxar,Bihar,Buxar,16 MLD,25.557425,83.980808,,,
5,Hajipur,Bihar,Vaishali,22 MLD,25.71199,85.210569,,,
6,Begusarai,Bihar,Begusarai,17 MLD,25.415196,86.128994,,,
7,Munger,Bihar,Munger,27 MLD,25.368041,86.475655,,,
8,Beur,Bihar,Patna,43 MLD,,,,,
9,Karmalichak,Bihar,Patna,37 MLD + 04 MLD,25.57743,85.233214,,,
10,Kankarbagh Sewerage Network Zone IV,Bihar,Patna,50 MLD,25.593371,85.160963,,,
11,Digha Sewerage,Bihar,Patna,100 MLD,25.650209,85.097238,,,
12,"Interception & Diversion of Drains and STP Project, Sultanganj",Bihar,Bhagalpur,10 MLD,25.239765,86.740622,,,
13,"Interception & Diversion of Drains and STP Project, Mokama",Bihar,Patna,08 MLD,25.391895,85.913085,,,
14,"Interception & Diversion of Drains and STP Project, Naughciya",Bihar,Bhagalpur,09 MLD,25.386708,87.098176,,,
15,"Interception & Diversion of Drains and STP Project, Barh",Bihar,Patna, 11 MLD,25.477354,85.709249,,,
16,"Jagjeetpur, Haridwar",Uttarakhand,Haridwar,27 MLD,29.921508,78.13532,31-03-2017,Operational,Complying
17,"Jagjeetpur, Haridwar",Uttarakhand,Haridwar,18 MLD,29.921508,78.13532,31-03-2017,Operational,Complying
18,Swarg ashram Rishikesh,Uttarakhand,Rishikesh,3 MLD,30.117063,78.313856,29-03-2017,Operational,Complying
19,"Lakkar Ghat, Rishikesh",Uttarakhand,Rishikesh,6 MLD,30.108609,78.298523,30-03-2017,Operational,Complying
20,"Rishikesh, IDPL",Uttarakhand,Rishikesh,14 MLD,30.074988,78.254152,29-03-2017,Operational,Complying
21,Srinagar,Uttarakhand,Srinagar,3.5 MLD,34.083847,74.797173,31-03-2017,Operational,Complying
22,"Sarai, Jawalpur STP",Uttarakhand,Haridwar,18 MLD,29.911213,78.101757,29-03-2017,Operational,Complying
23,Uttarakashi,Uttarakhand,Uttarakashi,2 MLD,30.727687,78.435108,18-10-2016,Operational,Complying
24,Tehri,Uttarakhand,Tehri,5 MLD,30.374167,78.432976,30-03-2017,Operational,Complying
25,Tapovan (New),Uttarakhand,Tapovan ,3.5 MLD,30.132465,78.321967,28-03-2017,Operational,Complying
26,"Bah Bazar, Devprayag (New)",Uttarakhand,Devprayag ,1.4 MLD,30.144755,78.601347,,,
27,Kargi (New),Uttarakhand,Dehradun,68 MLD,30.285253,78.023708,,,
28,Mothorwala (New),Uttarakhand,Dehradun,20 MLD,30.262236,78.033958,,,
30,"Jajmau, Kanpur",Uttar Pradesh,Kanpur,5 MLD,26.422872,80.400541,08/08/17,Operational,Non- Complying
31,Salori Allahabad,Uttar Pradesh,Allahabad,29 MLD,25.484186,81.876398,01/03/17,Operational,Complying
32,"Rajapur, Allahabad",Uttar Pradesh,Allahabad,60 MLD,25.47235,81.829232,27-02-2017,Operational,Complying
33,"Pongghat, Allahabad",Uttar Pradesh,Allahabad,10 MLD,25.449019,81.751328,28-02-2017,Operational,Non- Complying
34,"Kodra,  Allahabad",Uttar Pradesh,Allahabad,25 MLD,50.75559,30.01341,01/03/17,Operational,Complying
35,"Naini,  Allahabad",Uttar Pradesh,Allahabad,80 MLD,,,01/03/17,Operational,Complying
36,Dinapur (Varanasi),Uttar Pradesh,Varanasi,80 MLD,25.349735,83.048333,07/03/17,Operational,Non- Complying
37,Bhagwanpur BHU (Varanasi),Uttar Pradesh,Varanasi,9.5 MLD,25.271542,83.009611,06/03/17,Operational,Complying
38,DLW- Varanasi,Uttar Pradesh,Varanasi,12 MLD,25.286825,82.968626,06/03/17,Operational,Complying
39,Mirzapur,Uttar Pradesh,Mirzapur,14 MLD,25.13524,82.564524,,,
