Industry Name and Address,Distt,Sector,Valid relevantConsents under Air and Water Act and Authorization under HW Rules(YES / NO)*(Choose YES Only When all Relevant Consent and Authorization are valid),"If relevant consents under Air and Water Act and Authorization under HW RulesNot valid,Action taken by SPCB",Compliance Status(Complied = 1)(Non-Complied = 0)(Self Closed = 2) ,"If not complied,Action taken by SPCB",OCEMS Connectivity Status(Connected = 1)(Not-Connected = 0)(Closed=2),Remark(Legal Action etc)
"HINDALCO, Indian Aluminum Company Limited, P.B-1, Belgaum-590 010.",Belgaum,Aluminium,YES,,1,,1,
"Hikal Ltd., No.82-A, Jigani Industrial Area, Anekal Taluk, Bangalore District. ",Bangalore,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Ace Bright Pvt Limited, Unit I (CDYMAX, UNIT-I  ) No.116/117, KIADB Inddl. Area, Jigani II Phase, Bangalore",Bangalore,Bulk Drug and Pharmaceuticals,,,2,,2,Permanently closed
"Ace Bright Pvt Limited, Unit II (CDYMAX, UNIT-II  ) No.116/117, KIADB Inddl. Area, Jigani II Phase, Bangalore",Bangalore,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Kumar Organics Products (p) Ltd., 62, Jigani Industrial Area, Anekal Taluk, Bangalore. ",Bangalore,Bulk Drug and Pharmaceuticals,NO,NPD issued (19.08.17),1,NPD issued (19.08.17),1,NPD issued for operating without valid EC on 19.08.17
"Jubilant Organosys Ltd., (Formely M/s. Max India (P) Ltd)  No.56, KIADB, Indl. Area, Nanjangud-571 301, Mysore Dist.",Mysore,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Sequent Pharmaceuticals  (Strides Research & Specialty Chemicals Ltd.,) Plot No.120 A/B, KIADB Industrial Area Baikampady, Mangalore – 575 011.",Dakshina Kannada,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Anthem Biosciences Private Limited, Plot No.49, KIADB Bommasandra Industrial Area, Phase-I, Bangalore-560 099",Bangalore,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Vani Organics   Kolhar Industrial Area, Bidar District.",Bidar,Bulk Drug and Pharmaceuticals,,Closure order issued by KSPCB on 16.04.14 and direction issued by  SEIAAon 13.06.16  for operating without EC ,,,1,Closure order issued by KSPCB on 16.04.14 and direction issued by  SEIAAon 13.06.16  for operating without EC 
"Anugraha Chemicals, Shed No.D-48, KSSIDC Industrial Estate, Doddaballapura, Bangalore Rural District",Bangalore Rural,Bulk Drug and Pharmaceuticals,YES,,1,,1,Closure revoked by CPCB on 28.07.2017
"Apotex Pharmachem India Ltd., Plot No. 1A, 4th Phase, Bommasandra - Jigani Link road, Industrial Area, Anekal Taluk, Bangalore",Bangalore,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Sathyadeeptha Pharmacueticals Limited, Plot No. 101, Humnabad Industrial Area, , Bidar ",Bidar,Bulk Drug and Pharmaceuticals,NO,PH conducted on 16.08.17,1,PH conducted on 16.08.17,1,Operating without EC for additional products.
"Arvee Synthesis Private Limited, (Sequent Scientific Limited)Sy. No. 265,250,251,252 & 233, Thoremavu village, Nanjangud Taluk, Mysore District",Mysore,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Associated Drug Company, 20th KM, Kumbalgodu, Mysore Road, Bangalore-74",Bangalore,Bulk Drug and Pharmaceuticals,,,2,,2,Permanently closed
"Microlabs Limited, Unit-III, Bommasandra-Jigani link Road, industrial area, 4th Phase, Anekal taluk, Bangalore.",Bangalore,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Azekem Lab  Private Limited, Plot No.94, Kolhar Industrial Area, Bidar",Bidar,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Lake chemicals Pvt. Ltd., Bommasandra, Anekal Tq, Bangalore",Bangalore,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Hindustan Latex Ltd., Kanagala Village, Hukkeri Taluk, Belgaum",Belgaum,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Stellance Pharma Science (Karnataka Chemsyn Ltd.) plot No. 456A & B, Jigani Industrial Area, Anekal taluk, Bangalore",Bangalore,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Bal Pharma Limited, Bommasandra-Jigani Link Rd., Anekal Tq.",Bangalore,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Vivimed Labs Ltd., Plot No. 78/A, Kolhar Industrial Area, Bidar.",Bidar,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Vivimed Laboratories Ltd,  54P, Kolhar Industrial Area, Bidar – 585 403.",Bidar,Bulk Drug and Pharmaceuticals,NO,Directions issued  by SEIAA on 13.06.16  for operating without EC,1,Directions issued  by SEIAA on 13.06.16  for operating without EC,1,Directions issued  by SEIAA on 13.06.16  for operating without EC
"Shilpa Medicare Unit-II, Plot No33,33A,40-47, Raichur Industrial Growth Centre, Raichur",Raichur,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Shilpa Medicare Unit-I, Plot No4, Deosugur, Industrial Area, Raichur",Raichur,Bulk Drug and Pharmaceuticals,NO,Operating without valid EC for product mix. PH conducted on 26.07.17,1,Operating without valid EC for product mix. PH conducted on 26.07.17,1,Operating without valid EC for product mix. PH conducted on 26.07.17
"Trimax Bio science Private Limited, Plot No. 27, KIADB Industrial Area, Raichur Growth Centre, Raichur",Raichur,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Kemwell Private Limited, T-Begur, Tumkur Road, Nelamangala Taluk, Bangalore Rural District",Bangalore Rural,Bulk Drug and Pharmaceuticals,YES,,1,,NA,Not covered under 17 Category
"Biocon India Limited, 20th KM, Hebbagodi, Hosur Road, Anekal Tq. ",Bangalore,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Karnataka nutraceuticals India Limited, Plot No. 101B, KIADB Growth Cetre,Industrial Area, Hassan",Hassan,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Biocon Limited, Plot No.2, 3 & 4, Bommasandra-Jigani Link Road Industrial Area, 4th Phase, Anekal Taluk, Bangalore- 560 099 ",Bangalore,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Kumar Organic Products Limited, Plot No.103 & 104, KIADB Industrial Area, Pharma Zone Hassan",Hassan,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Biogen Extracts Private Limited, Plot No. 57, Somapura Industrial Area, Dabaspet, Bangalore Rural District",Bangalore Rural,Bulk Drug and Pharmaceuticals,YES,,1,,0,
"Provimi Animal Nuetrition India Private Limited, KIADB Industrial Area, doddaballapura, Bangalore Rural District",Bangalore Rural,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Vaidhatru Pharma (pvt) ltd, Plot No.28, KIADB Industrial Area, Raichur",Raichur,Bulk Drug and Pharmaceuticals,,Consent refused on 19.01.18,2,,2,Closed
"Sai Life Science (Sai Adventum Pharma Limited),        Plot No. 80-B & 81-A, Kolhar Industrial Area, Bidar.",Bidar,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Chandra Life Sciences, Plot No. 200, Kolhar Industrial Area, Bidar",Bidar,Bulk Drug and Pharmaceuticals,NO,Directions issued  by SEIIA on 13.06.16 for operating without EC. Closure oder issued by Board on 04.06.16,1,,1,Directions issued  by SEIIA on 13.06.16 for operating without EC. Closure oder issued by Board on 04.06.16
"Chiral Bio Sciences Private Limited, Plot No.50 & 51, Kolhar Industrial Area, Bidar",Bidar,Bulk Drug and Pharmaceuticals,NO,Directions issued  by SEIIA on 13.06.16 for operating without EC. Closure oder issued by Board on 31.03.17,0,Directions issued  by SEIIA on 13.06.16 for operating without EC. Closure oder issued by Board on 31.03.17,1,Directions issued  by SEIIA on 13.06.16 for operating without EC. Closure oder issued by Board on 31.03.17
"Chorus Labs Ltd, Plot No. 23-B, Kolhar Indl Area, Bidar Dist.",Bidar,Bulk Drug and Pharmaceuticals,NO,Directions issued  by SEIIA on 13.06.16 for operating without EC. Closure oder issued by Board on 10.06.16,0,Directions issued  by SEIIA on 13.06.16 for operating without EC. Closure oder issued by Board on 10.06.16,1,Directions issued  by SEIIA on 13.06.16 for operating without EC. Closure oder issued by Board on 10.06.16
"Cipla (P) Ltd., Old Madras Road, Virgonagar, Hoskote taluk, Bangalore District.",Bangalore Rural,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Cipla Limited, Bommasandra-Jigani link Road, Bangalore ",Bangalore,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Corvine Chemicals & Pharmaceuticals Ltd. Plot No. 135 E, Kolhar Industrial Area, Bidar.",Bidar,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Karnataka Malladi Biotics Ltd., Plot No.71-74, Tubinekere Industrial Area, Mandya – 573 402.",Mandya,Bulk Drug and Pharmaceuticals,,,2,,2,Permanently closed
"Resonance Laboratories Ltd., Plot No. 8C & 9A, KIADB Indl. Area, Doddaballapura Tq. Bangalore  Dist.",Bangalore Rural,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Satwik Drugs Ltd.,  78-B, Kolhar Industrial Area, Bidar-585 403.",Bidar,Bulk Drug and Pharmaceuticals,,,2,,2,Permanently closed
"Shrisma Fine Chemicals & Pharmaceutical Ltd, Doddaballapur, Bangalore District.",Bangalore Rural,Bulk Drug and Pharmaceuticals,,,2,,2,Permanently closed
"Smithkline Beechem Pharmaceutical Ltd, Devanahalli Road, Off Old Madras Road, Bangalore – 560 049.",Bangalore Rural,Bulk Drug and Pharmaceuticals,,,2,,2,Permanently closed
"Smithkline Beechem Pharmaceutical Ltd., Belagola Industrial Area, Metagalli, Mysore – 570 016. ",Mysore,Bulk Drug and Pharmaceuticals,,,2,,2,Permanently closed
"Somu Organo-Chem (P) Ltd.            Plot No. C-29, C-30, KSSIDC Estate, Malur taluk, Kolar district.",Kolar,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Ray Chemicals, Plot No. 41, KHB Indl Are, Yelahanka, Banglore North Tq, Banglore ",Bangalore,Bulk Drug and Pharmaceuticals,YES,Letter addresesed to SEIAA reg extention of EC,1,Letter addresesed to SEIIA reg extention of EC,1,Letter addresesed to SEIAA reg extention oif EC
"R.L. Fine Chem Pvt. Ltd., Plot No 14, KHB Industrial area, Yelahanka, Bangalore North Taluk, Bangalore",Bangalore,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Metropolitan Overseas Ltd., Plot No. 5, Hirehalli Industrial Area, Tumkur.",Tumkur,Bulk Drug and Pharmaceuticals,,"Closure order issued
07.04.15",2,"Closure order issued
07.04.15",2,Closed
"R.L. Fine Chem Pvt. Ltd., Plot No 15, KHB Industrial area, Yelahanka, Bangalore North Taluk, Bangalore",Bangalore,Bulk Drug and Pharmaceuticals,YES,,1,,1,
